id, name, description, count
21719973,Shugars,"Computational political scientist. PhD Candidate @NUNetSI (Next: Faculty Fellow @NYUDataScience). Political behavior, civics, NLP, networks. She/they. #FirstGen",1
1046598080,jkbren,"thinking, thinking about thinking, thinking about thinking about thinking. surprise.",20
833629111,chiahungyang,"PhD Candidate - Network Science Institute, Northeastern University",3
479672092,ConstantineDovr,"I am a professor at Georgia Tech working in the overlap of network science, machine learning and neuroscience",4
54155948,YildirayYildiz,"Prof @BilkentUniv. Former Scientist @NASA. PhD MIT. Member, CSS BoG. A-Editor at IEEE CSM, TCST, European J Control. On a quest to understand myself, the human.",1
365059891,_leotrs,"Networks, Math, Computation, Complexity, Philosophy, Bicycling, Running, Swimming. PhD candidate @NUnetsi.",9
1962699368,_AlexArenas,"Physicist. Full Professor in Computer Science and Mathematics URV. 
APS fellow.",28
3386954115,daniel_goldsmth,"Working on something new. Building better tools to analyze #networks and complex systems. Adjunct Prof @yunews. Formerly:  @chainalysis, @2Uinc.",6
879170334578139140,SoodiMilanlouei,"Former PhD at Barabasi Lab, Center for Complex Networks Research, Northeastern University",11
4099956119,SoheilEshghi,"Postdoc @YaleSPH @YINSedge - On the market! *****
Control theorist working on epidemic control, social influence, and network effects | he/him",4
33315710,austinbenson,Assistant Professor of CS @CornellCIS; previously PhD @ICMEStanford & BS EECS/BA Applied Math @UCBerkeley. I develop computational frameworks.,11
2902126231,DzGuilbeault,"Computational Social Science. Network Dynamics Group @ Annenberg School for Communication, Upenn. Future Assistant Prof. @ Berkeley, Haas 2020.",1
4179767308,spcornelius,"Assistant professor @RyersonU. Complex systems, networks, and nonlinear dynamics.",10
62621489,joshua_a_becker,computational social scientist studying #collectiveintelligence // fascinated by #crowds // retweets reflect a complex interplay of structure and agency,3
751990496076111873,dahaj1897,"Ph.D. Candidate at @QBioS_GT, Interested in biology, physics, and statistics",2
384986306,BeckettStephen,Marine microbiology and virology. Computational ecology.  Bipartite networks. Scientist @GeorgiaTech in the @Weitz_group. Searching learning & coffee converting,1
77436536,onurvarol,"Postdoc at @NUnetsi, PhD in Informatics at Indiana University. Developed @Botometer -- Microsoft Research Intern (2014,2015)
#networkscience, #machinelearning",9
3729520335,NUnetsi,Network Science Institute at Northeastern University,32
2584784815,ryanjgallag,Networks ∩ Communication. PhD student @NUnetsi with @CoMMLabNU. Previously @compstorylab and @USC_ISI. Aspiring one-man band. He/him/they/them.,8
1423906682,TheRealShankar,"Core Data Scientist at Facebook / Former Staff Data Scientist at Quora / Ph.D. in Condensed Matter Physics from Caltech, 2013",12
222050461,err45,"Complex networks & systems + Computational science + data analysis Lecturer in Computer Science 
Vidyasagar College, University of Calcutta, Kolkata, India",6
2837414492,sriniv_venkat,"Research Scientist, Biocomplexity Institute, University of Virginia. Interested in Network Science, Stochastic modeling, ABMs, Epidemiology, Data viz.",10
899009494507761665,toastferry,Earth systems. Mathematics. regenerative agriculture.,2
122445022,Envirovivek,"Interested in ecological intensification of paddy and millet based agroecosystems in tropics | Researcher at M S Swaminathan Research Foundation, Chennai, India",2
17270684,fusaroli,"Social interactions and cognition, stats, computational modeling and machine learning, complex systems, language, and mental disorders. He/Him",5
2335431,yy,Studies (social|biological|flavor|.+) networks. Associate Professor at Indiana University Bloomington. Views are my own.,15
104710256,hguclu,Health/Physics/Computational Epi/Modeling/Networks/Stat. Sağlık/Fizik/Hesaplamalı Epi/Modelleme/Ağ analizi/İstatistik. Hear me out but don't take my word for it,4
3970895777,SDuranNebreda,"Postdoc working on cultural evolution at the ETL w @svalver, previously plant complexity, multicellularity and Turing patterns. Co-Founder of @MoiraiBioDesign.",3
2505634440,RennyS42,formerly @i8uridea4brekki until I was suspended for being a good guy...this account is a temporary donation,1
217771939,mszll,"Exploring 🧐 online+urban networks, mobility, data viz. Created: Pardus, HubCab, What the Street!?, @nerdsitu",21
16330659,sgonzalezbailon,Fellow 2019-20 @CASBSStanford | Associate Professor @AnnenbergPenn | World Citizen | Research: https://t.co/fyPLL5neFd | Unpredictable stuff: stay tuned,5
1138837704970346497,MIDAS_Network,The MIDAS Network develops computational models of infectious diseases and their determinants in support of global disease control.,1
1235961957515022338,aa_soc,"Sociology Ph.D. student @UofT. Researching social networks, the body, professions & organizations, qual methods, East Asia. Views my own. RTs not endorsements.",2
942672186032164864,sorianopanos,PhD student at University of Zaragoza. Fascinated by all related to complex networks and their application to real phenomena. Proud of my family.,7
15261050,leoguti85,"Loving science, technology and good music. Ph.D. guy doing applied research in data science. Bogotano adicto a las hamburguesas el Corral.",2
19939208,lusseau,Professor @aberdeenuni | #SDG | quantitative behavior | quantitative governance | quantitative biology | Conseiller Consulaire @UDI_off | my own views #FBPE,1
15658907,MLuczak,AProf @VicUniWgtn curious about maths of #emergence & #complexity @PunahaMatatini https://t.co/uMzqdWXOcW #hauptstadtneuseelaender 🇩🇪/🇳🇿,9
950636670,balaunsw,"Balamurugan Soundararaj - Post Doctoral Fellow at City Futures Research Centre, UNSW",1
983259737314574337,YijunRan,"Link prediction, information diffusion doing a Networks PhD candidate at Southwest University.",2
18026546,ggeneraux,PhD student in Systems Science @BUSSIEDept.  Perpetual beginner. en/es,3
1091688538586992640,CHens19756161,"DST-INSPIRE Faculty
Physics and Applied Mathematics Unit
Indian Statistical Institute
Kolkata",1
23927123,poh_it,"Problem solver- AI compute, healthcare, math algorithms ; interests: Mathematical Systems Theory | Science | Humor",1
3001907483,SrAleta,,2
2274625974,Scottebemeup,"CompuSysEng career. Solar System Ambassador. Amateur Roboteer, Rocketeer, RC flier, Astronomer,  & Space Exploration Enthusiast. Opinions Expressed are Mine.",1
801042537238695936,dnds_ceu,We carry out research in network science with a special focus on the foundations and applications of network science to practical data-driven problems.,12
1181472815540822016,sustyplexia,Predicting Earth-relevant social and economic futures. Next generation interdisciplinary global change research: complex systems modelling and data science.,14
4824740248,forwardRPM,"Sustainable innovation in healthcare // News, insights, interviews, motion graphics // Co-published @ilpensiero and @think2it.",2
84340820,owuoo,#Grace#Favor#Mercy Student @spbifmo 1 Thessalonians 5:11,2
45545645,BrianePVSamson,"Systems Info Science PhD candidate, Future University Hakodate 
Asst Prof @dlsu_comet @DLSUManila 
HCI, Complex Systems, Open Data, Data Viz, Transportation",1
1216150760079200257,sumofangles,Mathematician | 2020 PhD in Systems Science student at Binghamton University | Dwight D. Eisenhower Fellow | Interests in Complex Systems and Networks,2
960138019843002369,martinrypdal,"Professor and department head at the Dept. of Mathematics and Statistics, UiT – The Arctic University of Norway. Climate science, epidemiology, complex systems",1
3377401715,ErinEMilne,"Mathematics Student and Teacher (B.A. @NVU_Lyndon 2013, M.S. @uvmvermont 2015)",2
76084600,goranmuric,"#networks #simulation #complexity Postdoc, Research Associate, USC Information Sciences Institute",1
1307569508,sarayshai,Assistant Professor at Wesleyan University. Interested in #Networks and #Science.,23
277532657,rohan_iitj,"Assistant Professor in CS @bennettuniv | Postdoc @iitkgp | PhD(IIT Jodhpur) | Theory of Complex Networks, Network Modelling, Machine Learning | Views are my own",18
201137229,rihickson,"Applied mathematician solving real world problems, with expertise in infectious disease modelling.",1
3486259881,dougsrferreira,,2
740343523,nirajkkushwaha,"Science,music,writing...that's pretty much me.  My objective- Contribute in unravelling the secrets of the cosmos and enjoy this one life i have,to the fullest!",1
499054463,diliara_valeeva,"Elites, corporations, inequality, computational social science, social networks. PhD at @UvACORPNET. Also author of @AsocialNets",3
973636307774828551,netsci2020,"The 2020 Conference @netscisociety. Rome, Italy September 2020 https://t.co/7b6uSvevZ8 Netsci2020@gmail.com",3
870003531335565313,drandrewrowe,"PhD, UoN Researcher Training (tweets are my own), Social Network Analyst, Protest & Social Media Research, PGR Support enthusiast, co-creator of @LboroPhDSN",1
1179713956623114240,albe_bracci,"Phd Student @CityUniLondon - Computational Social Science, Complex Networks, Blockchain based ecosystems, Pizza",3
2488227390,_fduron,"Civil engineer. PhD student in management sciences.
Instituto Politécnico Nacional - México. @IPN_MX
Costs engineer in construction projects.",2
110446125,pratha_sah,Data Science | Epidemiology | Public health. Currently at Yale Center for Infectious Disease Modeling and Analysis,10
1139160970721406976,tinaL___,Sociology PhD Candidate @NorthwesternU studying urban change and inequality with computational methods. First-gen paying it forward. https://t.co/OeMzsRM6he,1
51940609,PAstudilloE,"Exploring how people, places and economies behave, evolve and innovate | MUSIC LOVER | #EconGeography #ComplexSys #DataScience | @UniofOxford ex-@Harvard @MIT",3
869067365157306369,rcardenasheredi,Rio de Janeiro/BRA - Santiago de Cali/COL. Theoretical biology / Biological networks and complex systems. Digital citizen. Internet culture enthusiast.,7
400458925,natstann,∑ ∫: Computational immunology postdoc @Stanford. Former phd student @UNC.,1
2895802438,FrontMathsStats,The official Twitter Feed for the open access journal Frontiers in Applied Mathematics and Statistics.,1
1157733977605603328,NJ_Roberts11,"Grad student at UC Davis using math to study how heterogeneity, demographic stochasticity, and community structure affect disease ecology and evolution. he/his",5
210328371,uarayon,Soy un astrocito pero la neta quería quedarme como CNS-progenitora. Chairo y moreno. Le hago a la complejidad y a la biología de sistemas.,2
1083383932819771392,MFGevry,Atypical biologist.,1
792012547301994497,JoshuaSStinson,,2
297736294,andres_salaza,Estudiante de PhD.,2
790241310024228864,RachithAiyappa,"Curious speck of dust
https://t.co/Nfq1BHzYO2",2
902498275,NUlabTMN,"The NULab for Texts, Maps, and Networks. A center for Digital Humanities & Computational Social Science at @Northeastern University.",3
1057741124104847363,UVMCompSci,CS Department at the University of Vermont.,4
2810956798,Antropocaos,"Antropología, Complejidad y Caos. // Anthropology, Complexity, and Chaos.",3
573341487,SladeGrantham,#Intelligence #IntelligenceTheory #AI #Neurology #neurophysics #brainet #chaostheory #AIintel #cybernetics #AIindex #neurosurgery #brainimplant #BCI #Brain #IA,1
2896712975,ddiannae,"Software Engineer | PhD Student in Biomedical Sciences.   
Computational Biology.
🧬👩🏻‍💻🎹🎼🎈💫
Team PyladiesCDMX",1
954512356704378880,USF_Economics,Economics Department of the University of San Francisco. Offering the MS in Applied Economics and the MS in International and Development Economics.,1
846697411099668481,FabBento,"Associate Professor @OsloMet Oslo Metropolitan University
- Complexity, learning and change in social systems",19
3163055411,Abdullahrhmoun,PhD Candidate in Network Science at CEU,3
768884790292541440,HistPhilSci,PhD Student in Sociology.              Centre Emile Durkheim.,4
156576788,clementinehazel,Math Person! All I want is kids love math!,1
140753054,vishoza,"PhD. I have interests in network analysis, omics, computational and systems biology.",1
780429268866052096,alexpghayes,"#rstats 🎉 & social networks. stats phd student @ uw-madison. prev @RiceStatistics, @rstudio. he/him",2
138222192,ricardoI_,"Plant Pathology at #UF, plant-virus interaction, viral ecology, metagenomics, and networks. @Garrett_Lab Fl | 🇲🇽 DerechosDelMigrante HRC/MSF",3
754031378950451200,manuelmoreno454,,1
2911645708,ejdansu,"PhD Student, Mathematical Biology/Sociology @TohokuUniPR. Maths Salon Leader @TEDxTohokuU. Social Manager @_TUFSA. Secretary @afam_org.",1
123842287,laeflu,Managing Director at Psycon Corp.  PhD Candidate at University of Turku,1
1004142841008754688,brookemariebell,PhD student in Preventive Medicine @USC | #publichealth #obesityprevention #mhealth #WearableTech #networks #sna #foodpolicy #nutrition #sustainability,4
15464243,choux,"Learning analytics, digital networks, peer effects, complexity science.",6
1953104810,KayseMaass,"@Northeastern Industrial Eng Asst. Professor using #ORMS to address #healthcare, #socialjustice & #humantrafficking | Previously @UMIOE & @MayoClinic | she/hers",2
1440886406,ZoltanElekes,"Senior research assistant at Umeå University; Lecturer at University of Szeged; Junior research fellow at ANET Lab, Hungarian Academy of Sciences",1
38341407,cameronpiercy,Tweets about #FOW #orgcomm #netsci #CMC #rstats #firstgen #kansas #academictwitter Communication Ph.D. & Assistant Professor. Always late to the Twitter party.,2
2742636202,balazsvedres,Oxford sociologist and network scientist,2
1147170718494445569,css_usne,Local chapter of the Complex Systems Society providing services to the community of complex systems researchers and students in the US Northeast region,3
56035984,wrahool,PhDing @AnnenbergPenn. Computational social scientist. Other loyalties: #F1 and #COYG. I update my priors.,1
54531975,ennnvvy,"Researcher. Interests - Multi-Agent Control, Networks, Consensus, Opinion Dynamics, Community Detection.",3
1133818056956887044,redcompleja,Espacio para hispanos en Ciencia de Sistemas Complejos y Redes | Complex Systems and Network Science in Spanish | By @ajmoralesguzman & @jrncarlock #Ñ,7
166008261,jponnela,Associate Professor of Biostatistics at Harvard University. Director of Health Data Science Program. Digital phenotyping and statistical network science.,8
15160540,noshir,"Noshir is investigating factors that lead to the formation, maintenance, and dissolution of dynamically linked social and knowledge networks in communities.",22
1216521482,lgaalves,"Postdoc at Northwestern University - Statistical Physics, Complex Systems, Complex Networks, and Data Science",34
112333725,n_kahmed,"Computer Scientist @Intel Labs. Purdue PhD Alumni @PurdueCS , IEEE Senior Member. Working in #machinelearning #algorithms for massive #graphs #data",2
2164757344,santosvtito,PhD student in PolSci @ufmg | computational social science| bureaucracy and politics| network science| former visiting student @UBARectorado & @unb_oficial,24
778659791753220098,chakresh_iitgn,"Complex Networks, Dynamical Systems, Non Linear Physics, Sports Enthusiast, Physics and Society",5
1134960976695091212,CNWWs,"Complex Networks Winter Workshop
#CNWW20, #CNWW19, #CNWW18",5
82566863,lordgrilo,"Topology, complex networks, neuroscience; Research Leader @ISI_Fondazione by trade; Angoleiro and wine-drinker by passion.",13
109533154,criedl,"Associate Professor for Information Systems, Northeastern University; Fellow at IQSS at Harvard University; Interested in data analytics and crowdsourcing",27
24016742,droneale,"Talks to the animals. Network science & complex systems researcher w/ an interest in the messy, human aspects. Incompatible enthusiasms for running & craft beer",9
240789781,MartLStein,"Senior Onderzoeker, Coördinator Onderzoek LCI, RIVM. Infectious disease epidemiologist. Social Networks. Respondent-driven methods.",1
1834931742,qian_yifan,"PhD student @QMUL, working on Complex Networks, Science of Science and Machine Learning. MSc, BSc @Beihang1952 Diplôme d'Ingénieur @CentraleNantes",4
116297274,coronges,"Northeastern University, Network Science Institute, Social (networks, behaviors, cognition)",5
54887627,big_data_kane,"Epidemics, Genetics, Evolution. Works @BrownUniversity. Data & culture addict. Views/tweets are G x E x E x E x E interactions.",1
962911429052518400,gdeandajauregui,"Network Science. Systems Pharmacology. Complexity. Buzzword Overflow. 
Researcher, INMEGEN/CONACYT.
English, Español & #rstats",3
1979287862,DanLarremore,"Asst. Prof, CU Boulder Computer Science and @BioFrontiers.
Math, malaria, networks, and computational social science.",12
394381650,MattCrespi,Social scientist. Networks & healthcare researcher. CMU Corporate Startup Lab Co-Founder. Policy analyst/advisor. Enthusiast of graphs and sandwiches.,3
224814031,cyr_em,PhD student | Quantitative Social Psychology | @UWaterloo,3
373682248,HirokiSayama,"What I do not understand, I can still create. -- unknown アメリカで大学教員やっています．いつもヘンなことばかり考えています．意識低い系．",22
1011880954279981056,Herman_MSH,Almost Nothing! Enthusiastic about #DATA ! & #Complex_Networks |.| https://t.co/TRFPL9TdEz in #Complex_systems & #Networks🤓,1
1428700644,uclfincomp,University College London is a world centre of excellence for research and teaching in Financial Computing & Analytics .,2
386025050,ryanqiwang,"Father of two daughters, professor, researcher. Research area: urban and social resilience, neighborhood effects.",1
22252648,abhijeetrs,Postdoc in Computational Biology at Harvard Medical School and Brigham and Women's hospital. RT not endorsements.,2
582233920,all_are,"Assistant professor @universitelaval and @DynamicaLab. He/him. Network theory, nonlinear dynamics and statistical physics.",31
1093681836327198720,NetSciX2020,"International School and Conference on Network Science, January 20-23, 2020 #NetSciX2020",9
3246553077,YifangMa,"Postdoctoral Fellow at the Northwestern Institute on Complex Systems (NICO), working on Computational Social Science, Data Science and Network Science",1
1006295526722203652,Madea_Zabi,"PhD candidate of computer science, working at @wrightstate on data analytics for complex cyber-security and Socio-technological systems",2
813725467756863488,randomGraphs,"initialize Mersenne twister *beep beep boop beep* drawing random graph *krkrr krr ping*
waiting for your request",5
445315503,mkitsak,"Assistant Professor at TU Delft, Consultant in Network and Data Sciences",4
444854831,saeedosat,"Ph.D. student,
Complex Networks",2
7559192,mr_sunshine,"Fascinated by Psychology, Neuroscience and all kinds of networks. Globalize friendliness!",4
197886036,sapiezynski,"Research Scientist @ Northeastern. Privacy, transparency, fairness, computational social science.
he/him/his",2
1105508110213545984,netscisociety,"Official account of the Network Science Society.
""To serve and represent the rapidly growing research community on network science"".",13
4120580026,siobhan_grayson,PhD candidate #Networks #Δ #MachineLearning @Insight_Centre @UcdCompSci ⌁ #Fulbright Scholar @Fulbright_Eire ⌁ @BKCHarvard Affiliate ⌁ Runs @PyDataDublin,12
371701437,JosepSardanyes,Scientist at @CRMatematica • Nonlinear Dynamics • PI and head of the @LabNode • Opinions are my own. In LOVE WITH BEGUR,2
3325105445,BenFMaier,Postdoc at Robert Koch Institute (with @DirkBrockmann) // physics // complex systems // he/him/they/them // expressed views are my own,3
833373624,foucaultwelles,"Associate Professor at Northeastern University, network scientist, feminist, teacher, and mom. Appreciates novelty  socks and cat memes.",10
89509276,Vivfiona,"Computational Sociologist. Tech, (Counter)Terrorism & Society. Data & Network Sci Algorithmic Bias AI ML NLP WVU PhD student. Data Science Fellow #GHC19 scholar",1
984782025344409600,MencheLab,,5
52602820,Sebespejo,Life researcher. Analyst of biological and social data.,1
1010308067827896321,EvoplexOrg,A powerful platform for agent-based modeling on networks #OpenSource #OpenScience #NetworkScience #ComplexSystems #AgentBasedModeling #MultiAgentSystems,1
2648987845,sjnwoh,"Physicist (nuclear theory, networks), from Germany, now in Ohio, USA. I like reading, dogs (English Cockers), tracking, dinosaurs, archaeology, travel...",3
16696406,nj_goncalves,,1
846422863,ch4rleston,Data Science Manager at @WildlifeStudios ⚡️#DataScience #BigData #MachineLearning #HumanDynamics,1
850892377627742209,tylersnetwork,"PhD Candidate @dse_msu. Intern @HRLLaboratories. #SocialNetworkAnalysis with negative links, #DeepLearning on graphs, and #DataScience for social good.♻️",10
2264082385,HarrisonHartle,complex systems/network science & nonlinear dynamics/fluid turbulence,5
61690125,gknave,Postdoctoral researcher studying biological applications of nonlinear dynamics in @BioFrontiers at @CUBoulder. PhD in Engineering Mechanics from @BEAMVT.,1
1006231814107750401,LabNode,Nonlinear Dynamics and Evolution (NoDE) Lab • lead by @JosepSardanyes • The NoDE Lab is part of the Computational & Mathematical Biology Group @CRMatematica,16
77990334,JariSaramaki,"professor, network scientist, bassist.",29
2669156418,ian_hoffecker,Scientist at Karolinska Institute. Engineering DNA nanotechnology to perform information processing tasks for understanding cancer and improving diagnosis.,2
887242609,AnisabelBento,Quantitative Epi & Infectious Disease Ecology | Pathogen evolution | Assistant Prof @IUSPH @Prepared4Change @IUBloomington | @bento_lab,2
37535954,o16granados,Computational Social Scientist | Financial Computing Entrepreneur | Trail Runner & Adventurer,18
